"Count","Name"
"2046",".xml"
"1471",".js"
"1253",".m3u"
"995",".json"
"893",".md"
"838",".html"
"479",".txt"
"369",".dll"
"349",".dylib"
"314",".dat"
"299",".ts"
"281",".csv"
"247",".py"
"123",".gz"
"114",".bak"
"81",".ps1"
"80",".yml"
"65",".pdf"
"63",".rs"
"56",".tsx"
"50",""
"48",".zip"
"45",".tsv"
"36",".xlsx"
"32",".scss"
"32",".gitignore"
"30",".m3u8"
"30",".png"
"28",".dbf"
"22",".sh"
"19",".bat"
"17",".css"
"17",".pyi"
"14",".cs"
"9",".pyd"
"9",".gitkeep"
"9",".bjl"
"9",".svg"
"9",".yaml"
"8",".gitattributes"
"8",".xlsm"
"7",".lock"
"7",".mjs"
"6",".jar"
"5",".log"
"5",".docx"
"5",".sql"
"5",".ini"
"3",".htm"
"3",".ico"
"3",".toml"
"3",".mts"
"2",".csproj"
"2",".listing"
"2",".thmx"
"2",".bin"
"2",".jsonl"
"2",".jpg"
"2",".java"
"2",".tws"
"2",".dockerignore"
"2",".pyw"
"1",".download"
"1",".bak2"
"1",".iml"
"1",".mif"
"1",".tsv,csv"
"1",".flake8"
"1",".iss"
"1",".spec"
"1",".dbt"
"1",".com+dropboc_api+++"
"1",".raw"
"1",".pest"
"1",".files"
"1",".prettierrc"
"1",".check"
"1",".diff"
"1",".bas"
"1",".b4j"
"1",".meta"
"1",".mdx"
"1",".exe"
"1",".http"
"1",".sln"
